gene,score
ENO1,0.1680167071793544
PGK1,0.16792685492732626
HK2,0.16754347283526613
GAPDH,0.0015687205802592625
TPI1,0.001419379984254962
H6PD,0.0014167849893965848
GPI,0.0013657340565032432
PKM,0.001349903883138466
HK1,0.0013347040726389041
CS,0.0013205394748071787
G6PD,0.0013125189832903317
PFKM,0.0012986316085351508
TKT,0.0012853422405590623
TALDO1,0.0012704937159485942
AKT1,0.0012641498388605995
ACTB,0.0012568840310645643
TP53,0.0012420196976874176
HK3,0.0012402765327651439
TKTL1,0.0012387190255855845
TKTL2,0.0012373869424718831
IDH1,0.0012335330166530758
PFKL,0.0012268620668141818
ALDOA,0.0012246294559631974
FH,0.0012244242446416706
PGK2,0.001224268157150233
PFKP,0.001218066531533265
HKDC1,0.001214704504674597
FBP1,0.0012134362826648705
GCK,0.001211355865418968
IDH2,0.0012109995702743253
ACLY,0.0012098682695724683
PKLR,0.0012085177482461624
ENO2,0.0012079314761932612
ACO2,0.0012004017610504176
ENO3,0.0012000288757569467
MDH2,0.0011883533216939498
PYGL,0.001184333663380291
MYC,0.0011821605888220166
PGD,0.0011809659785975424
PC,0.0011802949088930168
SLC2A1,0.0011802490091308074
HIF1A,0.0011782261325341957
PYGM,0.0011744525471098434
PGAM1,0.0011527156194732335
PGM2,0.0011516866376107245
SORD,0.0011477273155030877
PYGB,0.0011440643508140143
PFKFB3,0.0011414445696766198
PGM1,0.0011409281183832243
RPIA,0.0011382473630865047
FBP2,0.0011332735733717374
ACO1,0.0011280527502314903
PGAM2,0.001127397185161707
ALDOC,0.0011199610191862561
ALDOB,0.001117850383964381
GBE1,0.0011081758423595988
GLUD1,0.0011056993917539304
CTNNB1,0.0011053493926839533
CYCS,0.0011008533428699323
OGDH,0.0010882310734127785
GALM,0.0010869040845771548
PCK1,0.001086723340919017
PGAM4,0.0010797267874651602
TIGAR,0.0010782317950703796
PFKFB4,0.0010769133641183623
PDK1,0.0010768083536448082
BPGM,0.0010753972176973448
SLC2A3,0.0010693927106132243
PFKFB1,0.0010678901150611964
AKR1B1,0.0010642796775419945
VDAC1,0.0010634557180525554
GSR,0.0010626282523374198
PFKFB2,0.0010612513612155417
GYS1,0.0010549805177112992
INS,0.0010264628134054581
ADPGK,0.00100835267677633
SLC16A3,0.001007769049550361
VDAC2,0.0010060827821369632
SLC16A4,0.0009862076304284824
SLC2A4,0.0009522572367756682
FASN,0.0009307218793989974
MTOR,0.0009111613762549444
EGFR,0.0009049597757686524
PGM3,0.0008910056302411662
STAT3,0.0008908786317031945
XYLB,0.0008907873068043611
PXDN,0.0008823040810540412
PTEN,0.0008814223364689439
PXDNL,0.0008779631515693065
TREH,0.0008778412709254692
DERA,0.0008743514574643174
UGP2,0.0008570815007544585
PDK4,0.0008543353479232959
EPAS1,0.0008489275506247395
ANXA5,0.0008458656705473147
ARNT,0.0008269249444877028
PDK2,0.0008193319424863901
GLYCTK,0.0008088854457286613
G6PC1,0.0007724440738964809
G6PC3,0.0007327444496875471
MPI,0.0007322650515497203
G6PC2,0.0007240949530704038
PPARGC1A,0.000703122562018217
PPARG,0.0006914963831022161
BCL2,0.000690929571659545
GFPT1,0.0006879715358326488
MGAM,0.0006816741425187304
SIRT1,0.000681382780779801
ACSS2,0.0006810387477560367
ACACA,0.0006804564496785108
SI,0.0006783009612940974
CASP3,0.0006747046245652188
